旅,たび,"
travel; trip; journey"
ぽっかり,,"
lightly
gaping wide
suddenly; unexpectedly"
折,おり,"
opportunity; chance; occasion; time
folding; fold; pleat; crease
small food box (wooden or cardboard)
folding in ... (two, three, etc.)
counter for folded items
counter for items (esp. food) packed in an oribako
折り 【おり】"
往々,おうおう,"
sometimes; often
往往 【おうおう】"
看過,かんか,"
overlooking; turning a blind eye
観過 【かんか】"
全編,ぜんぺん,"
whole book (volume); complete episode
全篇 【ぜんぺん】"
産気,さんけ,"
labor pains; labour pains"
習慣,しゅうかん,"
habit
(social) custom; practice; convention"
区々,まちまち,"
various; diverse; different; divergent; divided; conflicting
区区 【まちまち】"
思える,おも,"
to seem; to appear likely"
実家,じっか,"
(one's parents') home"
欠く,か,"
to chip; to nick; to break; to crack
to lack
闕く 【かく】"
退屈,たいくつ,"
tedium; boredom; dullness
to feel bored; to get bored with; to get tired of
Boredom
怠屈 【たいくつ】"
時化,時化しけ,"
stormy weather (at sea)
poor catch of fish (due to stormy seas)
poor turn-out; recession"
漁,りょう,"
fishing; gathering seafood (e.g. clams, seaweed)
catch (e.g. of fish); haul"
大人しい,おとな,"
gentle; quiet; mild; meek; obedient; docile; well-behaved; tame
quiet (color, pattern, etc.); sober
温和しい 【おとなしい】"
町,まち,"
town; block; neighbourhood; neighborhood
downtown; main street
street; road
街 【まち】"
流し,なが,"
sink (e.g. in a kitchen)
cruising (e.g. taxi); strolling (entertainer, musician, etc.)
washing area (in a Japanese-style bath)
back-washing service (in a public bath)
floating (something on water); setting adrift; washing away"
楽団,がくだん,"
orchestra; band"
軽業,かるわざ,"
acrobatics; risky undertaking"
台所,だいどころ,"
kitchen
financial situation
Kitchen"
壁,かべ,"
wall; partition
barrier; obstacle
Chinese ""Wall"" constellation (one of the 28 mansions)
Wall
壁 【へき】"
煙,けむり,"
smoke; fumes
Smoke"
篭る,こも,"
to shut oneself in (e.g. one's room); to be confined in; to seclude oneself; to hide away; to stay inside (one's shell)
to be filled with (emotion, enthusiasm, etc.)
to fill the room (of a gas, smell, etc.); to be heavy with (e.g. smoke); to be stuffy; to be dense
to be muffled (e.g. voice)
to hold (a castle, fortress, etc.)
to confine oneself in a temple to pray"
減る,へ,"
to decrease (in size or number); to diminish; to abate"
財布,さいふ,"
purse; handbag; wallet
Wallet"
家来,けらい,"
retainer; retinue; servant"
持て成す,もな,"
to entertain; to make welcome
持てなす 【もてなす】"
庭,にわ,"
garden; yard; courtyard
field (of action); area"
観覧車,かんらんしゃ,"
Ferris wheel
Ferris wheel"
交わす,か,"
to exchange (messages, greetings, arguments, etc.)
to intersect; to cross; to interlace
... with one another; ... to each other
交す 【かわす】"
一気に,いっき,"
in one go; in one gulp; in one breath; without stopping; without pausing; without resting; in one sitting; at a stretch; all at once
immediately; instantly; right away; straight away; straightaway"
留守,るす,"
absence; being away from home
house-sitting; house-sitter
being left unattended to (of one's studies, etc.); neglecting
留主 【るす】"
夫れ夫れ,そぞ,"
each; respectively"
性質,せいしつ,"
nature; property; disposition"
過敏,かびん,"
nervousness; oversensitivity"
慎重,しんちょう,"
careful; cautious; prudent; discreet; deliberate"
興,きょう,"
interest; entertainment; pleasure
implicit comparison (style of the Shi Jing)"
一見,いっけん,"
look; glimpse; glance
apparently; seemingly; at first glance; on the face of it
first meeting"
仕込み,しこ,"
training; education; upbringing
stocking up; laying in
preparation (e.g. ingredients)
girl studying to become a geisha
Shikomi
仕込 【しこみ】"
仕上がり,しあ,"
finish; end; completion; result
仕上り 【しあがり】"
鍛え,きた,"
forging; tempering
drilling; training; disciplining"
知恵,ちえ,"
wisdom; wit; sagacity; sense; intelligence
prajna (insight leading to enlightenment)
Wisdom"
身につける,み,"
opponent; rival; adversary
menace; danger; threat; enemy"
敵,てき,"
to defeat"
負かす,ま,"
family; relatives; dependents
household"
一族,いちぞく,"
to lead; to spearhead (a group); to command (troops)"
率いる,ひき,"
male horse"
牡馬,ぼば,"
open sea
Okinawa
澳 【おき】"
沖,おき,"
one's own convenience; one's way; selfishness
surroundings; environment; way of doing things
convenience; ease of use
financial circumstances; living; livelihood
kitchen
right hand (in archery); hand that pulls the bowstring
unauthorised (e.g. phone app, WWW site); unofficial
Katte"
勝手,かって,"
fishing grounds; permitted fishing zone"
